kepid radius radius_err mass mass_err age age_err Z Z_err Y Y_err alpha alpha_err a_0 f AMP_b
3427720 1.125  0.014 1.13  0.04 2.23  0.17 0.0168  0.0016 0.248  0.020 1.98  0.11 −3.65 1.2 641
6116048 1.219  0.009 1.01  0.03 6.23  0.37 0.0118  0.0011 0.255  0.014 1.80  0.10 −5.55 6.2 642
6603624 1.181  0.015 1.09  0.03 8.11  0.46 0.0309  0.0029 0.250  0.021 2.12  0.09 −1.65 10.3 643
6933899 1.599  0.018 1.14  0.03 6.87  0.34 0.0203  0.0022 0.257  0.014 2.10  0.07 −1.98 2.8 497
7871531 0.874  0.008 0.84  0.02 9.15  0.47 0.0125  0.0014 0.263  0.018 2.02  0.12 −4.07 4.2 523
8006161 0.947  0.007 1.04  0.02 5.04  0.17 0.0427  0.0052 0.259  0.015 2.22  0.08 −1.99 2.0 494
8394589 1.116  0.019 0.94  0.04 2.92  0.18 0.0082  0.0005 0.308  0.028 1.62  0.07 −9.68 1.5 526
8694723 1.436  0.024 0.96  0.03 4.90  0.54 0.0058  0.0006 0.298  0.025 1.52  0.10 −7.70 36.8 516
8760414 1.010  0.004 0.78  0.01 3.69  0.74 0.0032  0.0003 0.238  0.006 1.90  0.12 −6.01 20.3 644
9098294 1.154  0.009 1.00  0.03 7.28  0.51 0.0143  0.0018 0.252  0.017 2.00  0.12 −4.76 1.6 509
9139151 1.146  0.011 1.14  0.03 1.71  0.19 0.0224  0.0014 0.289  0.018 2.04  0.07 −4.67 0.7 508
9955598 0.883  0.008 0.89  0.02 6.72  0.20 0.0231  0.0017 0.291  0.017 2.06  0.09 −2.69 3.6 524
10454113 1.250  0.015 1.19  0.04 2.03  0.29 0.0168  0.0012 0.252  0.018 1.86  0.08 −4.67 2.6 645
10644253 1.108  0.016 1.13  0.05 1.07  0.25 0.0239  0.0024 0.290  0.025 1.96  0.12 −7.48 1.5 527
10963065 1.213  0.008 1.05  0.02 4.30  0.23 0.0118  0.0010 0.262  0.012 1.84  0.08 −5.34 8.4 518
11244118 1.589  0.026 1.10  0.05 6.43  0.58 0.0272  0.0034 0.310  0.031 2.16  0.19 −2.08 10.0 499
12009504 1.375  0.015 1.12  0.03 3.64  0.26 0.0152  0.0011 0.282  0.023 1.76  0.06 −5.80 7.0 498
12258514 1.573  0.010 1.19  0.03 4.03  0.32 0.0197  0.0015 0.290  0.017 1.88  0.08 −3.57 3.9 490
1435467 1.641  0.027 1.27  0.05 1.87  0.14 0.0203  0.0016 0.317  0.023 1.74  0.05 −5.41 8.9 552
2837475 1.592  0.027 1.39  0.06 0.83  0.12 0.0224  0.0018 0.315  0.029 2.12  0.12 −4.08 1.9 553
3632418 1.835  0.034 1.27  0.03 2.88  0.38 0.0143  0.0015 0.288  0.027 1.88  0.08 −3.51 14.2 646
3733735 1.367  0.023 1.32  0.04 0.12  0.06 0.0179  0.0011 0.300  0.021 1.72  0.11 −5.33 1.4 554
6508366 2.081  0.021 1.36  0.04 2.25  0.15 0.0168  0.0011 0.305  0.022 1.84  0.09 −2.77 2.9 536
6679371 2.186  0.015 1.56  0.03 1.81  0.12 0.0191  0.0019 0.245  0.014 1.56  0.09 −2.70 6.4 647
7103006 1.898  0.026 1.43  0.05 1.49  0.14 0.0247  0.0025 0.313  0.026 1.88  0.10 −3.78 12.1 530
7206837 1.555  0.016 1.46  0.05 0.22  0.04 0.0299  0.0012 0.271  0.022 1.34  0.08 −10.35 13.1 556
8228742 1.809  0.014 1.27  0.02 3.84  0.29 0.0147  0.0015 0.247  0.017 1.64  0.06 −5.02 24.9 648
9139163 1.532  0.021 1.36  0.03 1.07  0.16 0.0272  0.0014 0.302  0.017 1.84  0.07 −4.33 7.3 557
9206432 1.479  0.014 1.40  0.03 0.19  0.07 0.0290  0.0015 0.312  0.011 1.68  0.10 −5.94 5.5 532
9812850 1.745  0.024 1.39  0.05 1.68  0.13 0.0162  0.0011 0.252  0.022 1.26  0.09 −7.82 6.1 649
10162436 1.903  0.020 1.23  0.02 2.86  0.33 0.0162  0.0009 0.316  0.012 1.58  0.08 −5.46 24.2 539
10355856 1.667  0.015 1.32  0.03 1.54  0.13 0.0152  0.0009 0.280  0.018 1.18  0.15 −6.84 7.1 650
11081729 1.382  0.021 1.26  0.03 0.86  0.21 0.0162  0.0006 0.303  0.017 2.00  0.11 −6.72 7.1 551
11253226 1.551  0.019 1.41  0.05 0.56  0.20 0.0197  0.0012 0.279  0.025 1.22  0.26 −7.64 4.7 555
3424541 2.526  0.065 1.64  0.04 2.28  0.13 0.0309  0.0036 0.257  0.018 1.74  0.12 −5.44 2.3 636
5955122 2.042  0.025 1.12  0.05 5.26  0.58 0.0143  0.0023 0.290  0.022 1.76  0.15 −2.69 15.6 537
7747078 1.889  0.023 1.06  0.05 6.26  0.92 0.0103  0.0019 0.271  0.020 1.76  0.20 −5.63 38.6 541
7976303 1.961  0.041 1.10  0.05 4.78  0.58 0.0077  0.0015 0.268  0.016 1.92  0.19 −7.36 150.0 538
8026226 2.753  0.041 1.50  0.03 2.23  0.13 0.0125  0.0010 0.247  0.007 1.28  0.13 −4.99 32.5 651
8524425 1.733  0.015 1.00  0.07 7.98  0.46 0.0197  0.0022 0.313  0.041 1.72  0.11 −3.27 15.2 564
10018963 1.915  0.020 1.18  0.03 4.36  0.34 0.0097  0.0011 0.255  0.010 1.96  0.11 −2.66 113.2 544
11026764 2.106  0.025 1.27  0.06 5.00  0.53 0.0197  0.0029 0.254  0.016 2.10  0.37 −1.62 4.6 567
