, 2MASS, kepid, tycho, RA, dec
2MASS J19254039+3840204, KIC 3544595, TYC 3134-218-1, 19 25 40.3888, +38 40 20.450
2MASS J19481429+4344486, KIC 7976303, TYC 3148-546-1, 19 48 14.2914, +43 44 48.960
2MASS J19250004+4913545, KIC 11401755, TYC 3551-2464-1, 19 25 00.025, +49 13 54.77
2MASS J19122420+5002013, KIC 11807274, TYC 3550-1774-1, 19 12 24.2175, +50 02 01.430
2MASS J19241119+4203097, KIC 6603624, TYC 3142-403-1, 19 24 11.1967, +42 03 09.714
2MASS J19185411+4329468, KIC 7747078, TYC 3133-144-1, 19 18 54.1349, +43 29 46.682
2MASS J18563663+4739230, KIC 10454113, TYC 3545-2352-1, 18 56 36.6435, +47 39 23.037
2MASS J19162065+4133465, KIC 6196457, TYC 3129-2750-1, RA: (19 16 20.669), DE: (+41 33 46.70)
2MASS J19063321+3929164, KIC 4349452, TYC 3124-1264-1, RA: (19 06 33.2204), DE: (+39 29 16.321)
2MASS J19240775+4902249, KIC 11295426, TYC 3551-189-1, RA: (19 24 07.7644), DE: (+49 02 24.957)
2MASS J19022767+5008087, KIC 11853905, _, RA: (19 02 27.677), DE: (+50 08 08.71)
2MASS J19235640+4318525, KIC 7680114, TYC 3146-360-1, RA: (19 23 56.4118), DE: (+43 18 52.588)
2MASS J19202820+4452225, KIC 8684730, TYC 3146-289-1, RA: (19 20 28.195), DE: (+44 52 22.51)
2MASS J19274576+4819454, KIC 10920273, _, RA: (291.94070), DE: (48.32928)
2MASS J19092297+4322421, KIC 7670943, TYC 3132-651-1, RA: (19 09 22.9839), DE: (+43 22 42.120)
2MASS J19183945+4842223, KIC 11133306, _, RA: (289.66440), DE: (48.70621)
2MASS J19185753+4438507, KIC 8554498, _, ,RA: (289.73970), DE: (44.64742)
2MASS J19155629+4003522, KIC 4914423, TYC 3125-2038-1, RA: (19 15 56.287), DE: (+40 03 52.24)
2MASS J18575579+4423529, KIC 8349582, _, RA: (18 57 55.790), DE: (+44 23 52.93)
2MASS J19364879+3842568, KIC 3656476, TYC 3135-624-1, RA: (19 36 48.8144), DE: (+38 42 56.758)
2MASS J19464129+4420547, KIC 8379927, TYC 3148-1691-1, RA: (19 46 41.3129), DE: (+44 20 54.673)
2MASS J19011470+4750549, KIC 10586004, TYC 3545-1418-1, RA: (19 01 14.714), DE: (+47 50 55.19)
2MASS J19190052+4138043, KIC 6278762, TYC 3129-329-1, RA: (19 19 00.5481), DE: (+41 38 04.575)
2MASS J18450571+4746278, KIC 10514430, TYC 3544-1123-1, RA: (18 45 05.8104), DE: (+47 46 27.828)
2MASS J19095549+4915044, KIC 11395018, TYC 3550-300-1, RA: (19 09 55.4933), DE: (+49 15 04.472)
2MASS J19013967+4129243, KIC 6106415, TYC 3128-1563-1, RA: (19 01 39.6777), DE: (+41 29 24.333)
2MASS J18545588+4046311, KIC 5512589, TYC 3123-1088-1, RA: (18 54 55.8790), DE: (+40 46 31.195)
2MASS J18493364+4742398, KIC 10516096, TYC 3544-1771-1, RA: (18 49 33.6627), DE: (+47 42 39.613)
2MASS J19023940+4307029, KIC 7510397, TYC 3128-5-1, RA: (19 02 39.4116), DE: (+43 07 02.945)
2MASS J19095484+3813438, KIC 3102384, RA: (287.47850), DE: (38.22884)
