KIC,P13,G,2MASS,GLAT,GLON,Teffc,e_Teffc,Teff,e_Teff,Dnu,e_Dnu,numax,e_numax,Notes,Teff1,e_Teff1,[M/H]1,e_[M/H]1,M1,E_M1,e_M1,R1,E_R1,e_R1,log.g1,E_log.g1,e_log.g1,rho1,E_rho1,e_rho1,Teff2,e_Teff2,[M/H]2,e_[M/H]2,M2,E_M2,e_M2,R2,E_R2,e_R2,log.g2,E_log.g2,e_log.g2,rho2,E_rho2,e_rho2,_RA,_DE,kepid,tm_designation,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,mass,mass_err1,mass_err2,radius,radius_err1,radius_err2,dens,dens_err1,dens_err2,prov_sec,kepmag,dist,dist_err1,dist_err2,nconfp,nkoi,ntce,datalink_dvr,st_delivname,st_vet_date_str,ra,dec,st_quarters,teff_prov,logg_prov,feh_prov,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,av,av_err1,av_err2,tgas_hip,tgas_tycho2_id,tgas_solution_id,tgas_source_id,tgas_random_index,tgas_ref_epoch,tgas_ra,tgas_ra_error,tgas_dec,tgas_dec_error,tgas_parallax,tgas_parallax_error,tgas_pmra,tgas_pmra_error,tgas_pmdec,tgas_pmdec_error,tgas_ra_dec_corr,tgas_ra_parallax_corr,tgas_ra_pmra_corr,tgas_ra_pmdec_corr,tgas_dec_parallax_corr,tgas_dec_pmra_corr,tgas_dec_pmdec_corr,tgas_parallax_pmra_corr,tgas_parallax_pmdec_corr,tgas_pmra_pmdec_corr,tgas_astrometric_n_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_primary_flag,tgas_astrometric_relegation_factor,tgas_astrometric_weight_al,tgas_astrometric_weight_ac,tgas_astrometric_priors_used,tgas_matched_observations,tgas_duplicated_source,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_phot_g_n_obs,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_variable_flag,tgas_l,tgas_b,tgas_ecl_lon,tgas_ecl_lat,tgas_match_distance
10907196,1,0,J18583782+4822494,78.402,18.804000000000002,4969.0,79.0,4808.0,74.0,4.67,0.13,44.12,0.96,"KASC,PUBLIC                                  ",4721,87,-0.08,0.06,1.47,0.16,0.19,10.77,0.42,0.64,2.543,0.011000000000000001,0.011000000000000001,0.00119,5e-05,5e-05,4740,87,-0.08,0.06,1.5,0.13,0.2,10.88,0.33,0.72,2.543,0.011000000000000001,0.011000000000000001,0.00119,5e-05,4e-05,284.65758999999997,48.380390000000006,10907196,2MASS J18583782+4822494,4969,79.0,-79.0,2.543,0.011000000000000001,-0.011000000000000001,-0.08,0.06,-0.06,1.5,0.13,-0.2,10.88,0.33,-0.72,0.0016760000000000002,7.043e-05,-5.634e-05,MULT55,11.501,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,284.65758999999997,48.380390000000006,11111110111011101,PHO55,AST55,SPE55,9.92,0.021,9.413,0.017,9.302,0.013000000000000001,0.6988,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,116.264,132.197,148.299,161.112,177.308,198.71099999999998,204.196,213.69299999999998,225.748,231.12599999999998,233.296,234.65599999999998,235.347,238.248,,,,-2147483648,b'3545-1021-1 ',1635378410781933568,2131572958831929344,614874,2015.0,284.65762622548067,0.1389769809458416,48.380353609075826,0.21958519771829774,0.5231350432793948,0.2454495687678431,0.7395594164230161,0.9040388230448636,-3.104176951497017,0.6742071857536245,0.030141564086079597,0.17477279901504517,-0.4734579026699066,-0.05439414456486702,0.5510505437850952,-0.4625612199306488,-0.6273773908615112,-0.7566248774528503,-0.40869957208633423,0.08947474509477615,107,107,107,100,0,7,,0.3396951663031253,118.18812971163469,False,3.4408631324768066,8.047365188598633,3.1683975976193324e-05,5,16,False,0.2427978664636612,0.42180871963500977,0.17113558948040009,0.2537235617637634,-89.47352600097656,62.2884521484375,-8.961602210998535,24.69742202758789,133,467793.7749756961,633.1574069720864,11.349633968168032,b'NOT_AVAILABLE',78.4016977607123,18.80399661790491,299.9084318910868,70.30173896107266,3.146959026082033e-05
10962775,1,0,J18582020+4824064,78.405,18.857,5009.0,81.0,4819.0,75.0,4.11,0.09,35.12,0.86,PUBLIC                                       ,4716,94,-0.25,0.06,1.21,0.13,0.12,10.93,0.47,0.48,2.444,0.011000000000000001,0.012,0.00093,2.9999999999999997e-05,2.9999999999999997e-05,4736,94,-0.29,0.06,1.21,0.13,0.12,10.94,0.48,0.45,2.444,0.011000000000000001,0.012,0.00093,2.9999999999999997e-05,2.9999999999999997e-05,284.58417000000003,48.401779,10962775,2MASS J18582020+4824064,5009,81.0,-81.0,2.444,0.011000000000000001,-0.012,-0.29,0.06,-0.06,1.21,0.13,-0.12,10.94,0.48,-0.45,0.00131,4.226e-05,-4.226e-05,MULT55,11.436,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,284.58417000000003,48.401779,11111110111011101,PHO55,AST55,SPE55,9.854,0.021,9.357000000000001,0.017,9.238999999999999,0.013000000000000001,0.6989,1459.789,7.274,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,107.20299999999999,121.935,138.584,152.226,169.947,195.351,202.558,215.34400000000002,233.472,243.97799999999998,249.046,254.243,256.514,268.437,,,,-2147483648,b'3545-523-1  ',1635378410781933568,2131572477795590400,1443276,2015.0,284.5841708160405,0.1653107120018566,48.401737061253684,0.2581378571749268,0.49379582095368335,0.2900223758311823,-1.9249027369641643,1.0473477854044402,-5.068513201291951,0.779840996047833,0.036627065390348434,0.15530483424663544,-0.4698590040206909,-0.05268186703324318,0.5557358264923096,-0.4686490595340729,-0.6249552369117737,-0.7506109476089478,-0.41268667578697205,0.09202620387077332,106,106,106,95,0,11,,0.5170880964432254,233.25674282768438,False,5.1104416847229,3.6722443103790283,3.52680217474699e-05,5,17,False,0.2505231499671936,0.42044374346733093,0.17911703884601593,0.24900926649570465,-91.31171417236328,62.75994110107422,-9.772475242614746,24.290620803833008,133,496539.6534078462,431.3268535261341,11.28488522195057,b'NOT_AVAILABLE',78.4053311185145,18.857144296357085,299.78911355994705,70.33669253374424,2.2511799970613696e-05
11231549,1,0,J18584464+4857075,78.977,18.980999999999998,4728.0,80.0,4574.0,75.0,3.4,0.08,30.25,0.69,KASC                                         ,4451,86,-0.06,0.06,1.51,0.17,0.15,13.31,0.58,0.56,2.3680000000000003,0.011000000000000001,0.011000000000000001,0.00064,2e-05,2e-05,4541,86,-0.03,0.06,1.55,0.17,0.16,13.46,0.61,0.58,2.371,0.011000000000000001,0.011000000000000001,0.00064,2e-05,2e-05,284.68604,48.95211,11231549,2MASS J18584464+4857075,4728,80.0,-80.0,2.371,0.011000000000000001,-0.011000000000000001,-0.03,0.06,-0.06,1.55,0.17,-0.16,13.46,0.61,-0.58,0.0009013999999999999,2.817e-05,-2.817e-05,MULT55,10.958,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,284.68604,48.95211,11111110111011101,PHO55,AST55,SPE55,9.226,0.021,8.642000000000001,0.017,8.526,0.018000000000000002,0.6989,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,87.572,100.334,114.29700000000001,126.244,141.95600000000002,165.81599999999997,173.665,187.95,209.226,222.765,230.887,239.16099999999997,242.47,263.948,,,,-2147483648,b'3549-2441-1 ',1635378410781933568,2132173223462659328,221668,2015.0,284.6860390699517,0.13884329771711348,48.95207788278055,0.3470852818469324,0.7402426582577186,0.4571643508426926,3.3505889673422242,2.0776768892638584,-5.416311649414654,0.6043393156712245,0.4975537657737732,0.47921255230903625,-0.4868849515914917,-0.21035155653953552,0.9121461510658264,-0.864048182964325,-0.23964089155197144,-0.9402694702148438,-0.05381713807582855,-0.13366077840328217,53,53,53,51,0,2,,0.36501566160928717,142.21973185036356,False,3.676370143890381,6.959439277648926,2.7851629056385718e-05,5,9,False,0.3472306430339813,0.02337798848748207,0.395313560962677,0.034696076065301895,-76.58161926269531,66.4609375,31.61619758605957,-11.364745140075684,60,754967.5596943663,1965.8796198460443,10.829949336914629,b'NOT_AVAILABLE',78.97659370882465,18.981104211409665,300.4829012049611,70.84091737723594,1.742176299607487e-05
11284798,1,0,J18582108+4901359,79.028,19.067,4349.0,70.0,4201.0,65.0,1.46,0.04,9.5,0.25,"KASC,LUMINOUS_RGB                            ",4126,85,-0.04,0.06,1.22,0.17,0.14,21.76,1.14,1.05,1.848,0.013000000000000001,0.013000000000000001,0.00011999999999999999,1e-05,1e-05,4283,85,0.04,0.06,1.29,0.16,0.15,22.26,1.12,1.07,1.854,0.012,0.012,0.00011999999999999999,1e-05,1e-05,284.58783,49.026661,11284798,2MASS J18582108+4901359,4349,70.0,-70.0,1.854,0.012,-0.012,0.04,0.06,-0.06,1.29,0.16,-0.15,22.26,1.12,-1.07,0.000169,1.409e-05,-1.409e-05,MULT55,11.251,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,284.58783,49.026661,11111110111011101,PHO55,AST55,SPE55,9.271,0.022000000000000002,8.562000000000001,0.016,8.422,0.018000000000000002,0.698,1459.789,7.1,7.1,7.107,10.695,9.626,28.253,64.361,26.366999999999997,7.1,10.374,13.035,10.940999999999999,12.575,18.500999999999998,89.25200000000001,83.074,88.72200000000001,92.664,101.311,114.818,118.78299999999999,128.545,145.446,158.611,168.03400000000002,179.50400000000002,183.765,212.672,,,,-2147483648,b'3549-2320-1 ',1635378410781933568,2132174357334024192,1218478,2015.0,284.5878214380945,0.16670468152354256,49.02661667141617,0.26657803769046323,0.566308959040048,0.32570017796513767,0.3045526350943786,1.2264273100074428,-6.740749653255641,0.8112133172251836,0.23291566967964172,0.4095568060874939,-0.5127410292625427,-0.27154263854026794,0.7065275311470032,-0.6494606733322144,-0.5371828675270081,-0.8245161175727844,-0.4590217173099518,0.18483662605285645,72,72,72,70,0,2,,0.46664286841334063,204.95732733173978,False,4.631963729858398,4.308682441711426,3.077499059145339e-05,5,12,False,0.3424370586872101,0.3703094720840454,0.25381842255592346,0.18919846415519714,-90.24279022216797,61.00798034667969,-11.06601333618164,29.36863899230957,97,605304.8133269441,1226.5140539715455,11.069834745352649,b'NOT_AVAILABLE',79.02770394437209,19.06698307539255,300.3654536397843,70.93164169621508,1.764039231569682e-05
11337883,1,0,J18583500+4906208,79.12,19.058,5068.0,87.0,4937.0,83.0,11.53,0.21,149.21,3.22,PUBLIC                                       ,4806,85,-0.03,0.06,1.53,0.15,0.14,5.93,0.23,0.22,3.076,0.011000000000000001,0.011000000000000001,0.00734,0.00018999999999999998,0.0002,4802,85,-0.03,0.06,1.53,0.15,0.13,5.92,0.23,0.22,3.076,0.011000000000000001,0.011000000000000001,0.00734,0.00018999999999999998,0.00018999999999999998,284.64587,49.105782,11337883,2MASS J18583500+4906208,5068,87.0,-87.0,3.076,0.011000000000000001,-0.011000000000000001,-0.03,0.06,-0.06,1.53,0.15,-0.13,5.92,0.23,-0.22,0.01034,0.0002676,-0.0002676,MULT55,9.609,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,284.64587,49.105782,11111110111011101,PHO55,AST55,SPE55,8.102,0.021,7.606,0.022000000000000002,7.526,0.016,0.6988,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,149.69,149.996,153.725,152.864,153.486,149.768,146.88299999999998,141.461,133.506,125.476,118.455,112.08200000000001,110.501,101.59700000000001,,,,-2147483648,b'3549-1928-1 ',1635378410781933568,2132176350198847488,559636,2015.0,284.64580556681256,0.1190987826781749,49.105630594783335,0.23793646478285954,2.6464797724902853,0.284462048875002,-5.760823024723651,0.9338873556468149,-36.658129270681876,1.9191246638276143,0.3828023374080658,0.6852108836174011,-0.7190371751785278,-0.15949797630310059,0.7207252979278564,-0.6158008575439453,0.28663507103919983,-0.8677096962928772,0.2030002921819687,0.09663083404302597,52,52,52,52,0,0,,0.23627057982874816,55.352721864558376,False,2.498772382736206,15.609787940979004,2.1219546397333033e-05,5,7,False,0.5694781541824341,0.6508824825286865,0.035046447068452835,0.31914180517196655,-102.9523696899414,85.41756439208984,-2.376804828643799,18.302881240844727,59,2636889.535941201,2548.3097328932004,9.47204022185224,b'NOT_AVAILABLE',79.11996684661321,19.057926226891563,300.55082673863524,70.99512905375583,1.8227865565916237e-05
11072334,1,0,J19004144+4836005,78.744,18.559,5020.0,89.0,4851.0,83.0,6.68,1.03,79.25,3.24,PUBLIC                                       ,4689,79,0.11,0.05,1.43,0.43,0.35,7.96,1.05,0.97,2.792,0.018000000000000002,0.019,0.0028399999999999996,0.00041,0.00037999999999999997,4716,79,0.16,0.05,1.61,0.5,0.4,8.41,1.18,1.07,2.7939999999999996,0.018000000000000002,0.019,0.0027,0.00043,0.00039,285.1727,48.60014,11072334,2MASS J19004144+4836005,5020,89.0,-89.0,2.7939999999999996,0.018000000000000002,-0.019,0.16,0.05,-0.05,1.61,0.5,-0.4,8.41,1.18,-1.07,0.003803,0.0006057,-0.0005493,MULT55,10.59,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,285.1727,48.60014,11111110111011101,PHO55,AST55,SPE55,9.065,0.021,8.521,0.021,8.462,0.018000000000000002,0.6986,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,127.95299999999999,141.795,152.717,158.106,166.792,177.173,179.922,184.067,186.00799999999998,182.755,178.06599999999997,174.30599999999998,173.5,166.333,,,,-2147483648,b'3545-461-1  ',1635378410781933568,2131590654097173376,1795022,2015.0,285.17270630209254,0.1266652646636542,48.60011240356786,0.19554112887994346,0.8872237955228606,0.24900672214096878,2.116396069153624,0.9686564331956007,-6.854356909122408,0.5283541855803282,0.342011034488678,0.37654221057891846,-0.4865729808807373,-0.28603771328926086,0.8074893951416016,-0.7322444915771484,-0.5244290232658386,-0.8324152827262878,-0.4305330514907837,0.12742048501968384,96,96,96,92,0,4,,0.25867081328428637,78.81370906910159,False,2.699131965637207,12.214166641235352,2.102847065543756e-05,5,15,False,0.20510995388031006,0.2166822999715805,0.17334340512752533,0.07718537002801895,-61.04918670654297,41.20307922363281,0.8955692648887634,44.28268051147461,121,1027917.7605685238,451.00772628697194,10.494874138962816,b'NOT_AVAILABLE',78.74354946407234,18.559144696840686,301.07465194067623,70.40709894370865,4.749410036721107e-06
11339000,1,0,J19013400+4908307,79.332,18.612000000000002,4958.0,98.0,4737.0,90.0,4.28,0.09,38.26,0.88,"KASC,PUBLIC                                  ",4684,85,-0.03,0.06,1.32,0.12,0.12,10.95,0.41,0.4,2.479,0.011000000000000001,0.011000000000000001,0.00101,2.9999999999999997e-05,2.9999999999999997e-05,4713,85,-0.02,0.06,1.33,0.13,0.12,10.96,0.43,0.4,2.48,0.011000000000000001,0.011000000000000001,0.00101,2.9999999999999997e-05,2.9999999999999997e-05,285.39172,49.141869,11339000,2MASS J19013400+4908307,4958,98.0,-98.0,2.48,0.011000000000000001,-0.011000000000000001,-0.02,0.06,-0.06,1.33,0.13,-0.12,10.96,0.43,-0.4,0.001423,4.226e-05,-4.226e-05,MULT55,11.847000000000001,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,285.39172,49.141869,11111110111011101,PHO55,AST55,SPE55,10.259,0.022000000000000002,9.725,0.027000000000000003,9.617,0.021,0.6988,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,179.899,202.895,229.293,251.005,278.493,313.737,321.439,336.295,356.86800000000005,366.496,368.282,369.88,370.95599999999996,373.73699999999997,,,,-2147483648,b'3549-2241-1 ',1635378410781933568,2132003692512268032,2018357,2015.0,285.3917639160695,0.1786150901639731,49.141894965330316,0.2961214180153466,0.7877711637704188,0.3312834165588767,0.7648800522509143,1.1438933852302884,0.143008990508749,0.7808118171018326,0.21812400221824646,0.1441972404718399,-0.4761508107185364,-0.13151270151138306,0.5735540390014648,-0.5619643330574036,-0.6099086403846741,-0.7799067497253418,-0.37180039286613464,0.12893074750900269,88,88,88,81,0,7,,0.556480519336686,146.20724272184108,False,5.485363483428955,3.1844358444213867,2.566857438068837e-05,5,13,False,0.20557908713817596,0.3705984950065613,0.06214351952075958,0.3370766341686249,-42.958717346191406,74.5169448852539,11.873467445373535,15.860588073730469,102,335390.0643862228,214.09678004129472,11.710894581598218,b'NOT_AVAILABLE',79.33241324426203,18.61160870946138,302.004084474958,70.87548403912433,3.6000307747576935e-05
11072852,1,0,J19015877+4838074,78.857,18.372,4551.0,76.0,4376.0,70.0,1.45,0.04,9.53,0.26,"HALO,KASC,GO,LUMINOUS_RGB                    ",4331,84,-0.02,0.06,1.36,0.18,0.15,22.76,1.19,1.09,1.857,0.013000000000000001,0.013000000000000001,0.00011999999999999999,1e-05,1e-05,4453,84,0.04,0.06,1.41,0.2,0.18,23.06,1.29,1.24,1.861,0.013000000000000001,0.013000000000000001,0.00011999999999999999,1e-05,1e-05,285.4949,48.63541,11072852,2MASS J19015877+4838074,4551,76.0,-76.0,1.861,0.013000000000000001,-0.013000000000000001,0.04,0.06,-0.06,1.41,0.2,-0.18,23.06,1.29,-1.24,0.000169,1.409e-05,-1.409e-05,MULT55,10.939,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,285.4949,48.63541,11111110111011101,PHO55,AST55,SPE55,9.047,0.019,8.385,0.033,8.271,0.021,0.698,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,59.952,63.458999999999996,70.88600000000001,77.65100000000001,86.385,98.197,102.165,110.21700000000001,125.15700000000001,136.768,145.341,154.976,158.667,183.476,,,,-2147483648,b'3545-109-1  ',1635378410781933568,2131916968533291264,23484,2015.0,285.49489566927724,0.15076311811637635,48.635409544015616,0.2452241197967616,0.615691790344481,0.2991913689360468,-0.21848301534452608,1.1700937473162427,-6.736088889477603,0.7244671771032481,0.27970090508461,0.40045177936553955,-0.5328928828239441,-0.2039933055639267,0.7462301850318909,-0.643268346786499,-0.6077080965042114,-0.8430380821228027,-0.39746910333633423,0.1586524248123169,79,79,78,75,1,4,,0.3855269189329002,236.47256575677156,False,3.868048906326294,5.910904407501221,3.419759013922885e-05,5,13,False,0.27465009689331055,0.23895007371902466,0.15255795419216156,0.10401050746440887,-115.63531494140625,56.4822883605957,-3.4621174335479736,41.46818542480469,104,795605.2701405603,2340.1952178696724,10.773025935699163,b'NOT_AVAILABLE',78.85662273235455,18.371771250001835,301.710287365553,70.37385950999044,2.767993832821791e-05
11126673,1,0,J19032139+4847102,79.089,18.212,4802.0,134.0,4660.0,126.0,5.65,0.11,55.79,2.7,PUBLIC                                       ,4533,89,-0.12,0.06,1.14,0.22,0.2,8.65,0.57,0.54,2.622,0.023,0.023,0.00176,5e-05,5e-05,4602,89,-0.11,0.06,1.22,0.21,0.2,8.84,0.53,0.54,2.63,0.023,0.023,0.00176,5e-05,5e-05,285.83914,48.786190000000005,11126673,2MASS J19032139+4847102,4802,134.0,-134.0,2.63,0.023,-0.023,-0.11,0.06,-0.06,1.22,0.21,-0.2,8.84,0.53,-0.54,0.002479,7.043e-05,-7.043e-05,MULT55,9.677,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,285.83914,48.786190000000005,11101110111011101,PHO55,AST55,SPE55,8.077,0.034,7.528,0.045,7.4079999999999995,0.028999999999999998,0.685,1459.789,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,112.855,131.496,146.018,155.72799999999998,170.09799999999998,192.112,199.745,212.00900000000001,224.388,228.79,229.21400000000003,229.55,229.762,229.122,,,,-2147483648,b'3549-53-1   ',1635378410781933568,2131944662482457984,143514,2015.0,285.8391140619157,0.12121702509410225,48.78626071329485,0.26840122413597806,1.7672665954031637,0.35117309431020044,-10.216495173607196,2.0227595439127257,19.638632209007987,0.9057917484266155,0.36779487133026123,0.3930138945579529,-0.43046045303344727,-0.4196394681930542,0.9241788387298584,-0.8884740471839905,-0.7118108868598938,-0.924042284488678,-0.6950365900993347,0.6143836379051208,73,73,72,73,1,0,,0.3318597163636486,120.17318787096005,False,3.368271589279175,8.107653617858887,2.340090759389568e-05,5,14,False,0.5379457473754883,0.1501847356557846,0.29441022872924805,0.17274807393550873,-103.1783218383789,26.124710083007812,-7.916517734527588,-26.268953323364258,100,2428286.553128064,2197.2270666486183,9.561520226552474,b'NOT_AVAILABLE',79.08943199268913,18.212129352997692,302.4961204628674,70.44399378542897,2.7797576375102748e-05
11179815,1,0,J19024750+4850053,79.10300000000001,18.316,5077.0,99.0,4875.0,91.0,4.17,0.09,36.21,1.23,PUBLIC                                       ,4687,87,-0.08,0.06,1.24,0.15,0.15,10.91,0.5,0.53,2.455,0.015,0.016,0.00095,2.9999999999999997e-05,2.9999999999999997e-05,4715,87,-0.08,0.06,1.25,0.16,0.15,10.93,0.53,0.52,2.456,0.015,0.016,0.00095,2.9999999999999997e-05,2.9999999999999997e-05,285.69794,48.834808,11179815,2MASS J19024750+4850053,5077,99.0,-99.0,2.456,0.015,-0.016,-0.08,0.06,-0.06,1.25,0.16,-0.15,10.93,0.53,-0.52,0.001338,4.226e-05,-4.226e-05,MULT55,10.402999999999999,,,,0,0,0,,q1_q17_dr24_stellar,2015-01-15,285.69794,48.834808,11111110111011101,PHO55,AST55,SPE55,8.845,0.02,8.351,0.021,8.249,0.022000000000000002,0.6988,1459.789,7.1,7.1,7.1,7.1,9.375,8.964,9.271,7.1,7.1,7.1,7.1,7.1,7.1,7.1,90.25200000000001,105.439,119.417,130.632,146.001,171.388,180.31900000000002,196.03099999999998,216.555,228.769,235.294,241.94400000000002,244.72799999999998,262.813,,,,-2147483648,b'3549-572-1  ',1635378410781933568,2131948648212105088,1163316,2015.0,285.6979426104551,0.11205654975755874,48.834726883251314,0.24408970924000947,1.0579610781667612,0.27671125367571336,-5.698927680759528,1.7302518964876625,-18.586212439231122,0.6811674481214439,0.019331324845552444,0.1692809760570526,0.05078401044011116,-0.5585377216339111,0.8786408305168152,-0.9004976749420166,0.18858136236667633,-0.8824241161346436,0.07193657755851746,-0.39971140027046204,79,79,79,79,0,0,,0.25097776537224964,92.45032033356696,False,2.630021572113037,12.954109191894531,3.264958650106564e-05,5,13,False,0.5634167194366455,0.18673011660575867,0.1675620824098587,0.13712745904922485,-72.84131622314453,53.72960662841797,-0.8873724341392517,31.23490333557129,105,1248520.5468487118,1037.720282441256,10.283780829061268,b'NOT_AVAILABLE',79.10274038774799,18.316208288030065,302.27975778515105,70.51993242680665,2.5727491563298146e-05
