kepid,mass,mass_errp,mass_errm,radius,radius_errp,radius_errm,density,density_errp,density_errm,logg,logg_errp,logg_errm,age,age_errp,age_errm,ref
10666592,1.497,0.042,0.04,1.986,0.018000000000000002,0.015,0.269,0.004,0.005,4.017,0.006999999999999999,0.009000000000000001,2.11,0.29,0.24,Silva-Aguirre et al. (2014)
8554498,1.197,0.021,0.029,1.794,0.015,0.015,0.292,0.003,0.003,4.007,0.003,0.003,5.6,0.45,0.42,Silva-Aguirre et al. (2014)
11853905,1.117,0.021,0.029,1.555,0.012,0.012,0.419,0.004,0.006,4.102,0.005,0.004,6.71,0.77,0.67,Silva-Aguirre et al. (2014)
6521045,1.108,0.021,0.019,1.513,0.009000000000000001,0.012,0.454,0.004,0.006,4.125,0.004,0.004,6.5,0.46,0.56,Silva-Aguirre et al. (2014)
8866102,1.228,0.042,0.04,1.357,0.012,0.015,0.695,0.01,0.011,4.262,0.006999999999999999,0.008,2.6,0.56,0.53,Silva-Aguirre et al. (2014)
3544595,0.899,0.009000000000000001,0.009000000000000001,0.916,0.006,0.006,1.653,0.016,0.018000000000000002,4.468,0.003,0.003,6.63,0.62,0.57,Silva-Aguirre et al. (2014)
11904151,0.918,0.011,0.019,1.0659999999999998,0.006,0.009000000000000001,1.068,0.006999999999999999,0.012,4.3439999999999985,0.003,0.003,10.23,0.83,0.67,Silva-Aguirre et al. (2014)
5866724,1.199,0.029,0.03,1.399,0.012,0.012,0.616,0.006999999999999999,0.008,4.224,0.005,0.006999999999999999,3.89,0.59,0.48,Silva-Aguirre et al. (2014)
4914423,1.099,0.019,0.03,1.45,0.009000000000000001,0.009000000000000001,0.507,0.005,0.005,4.155,0.004,0.004,6.67,0.69,0.62,Silva-Aguirre et al. (2014)
8349582,1.068,0.021,0.019,1.4169999999999998,0.012,0.009000000000000001,0.528,0.006,0.005,4.163,0.003,0.004,8.03,0.8,0.7,Silva-Aguirre et al. (2014)
5094751,1.068,0.04,0.04,1.339,0.015,0.018000000000000002,0.628,0.008,0.006999999999999999,4.213,0.008,0.006999999999999999,6.35,1.05,1.05,Silva-Aguirre et al. (2014)
4349452,1.159,0.04,0.051,1.297,0.015,0.015,0.745,0.009000000000000001,0.01,4.275,0.006999999999999999,0.008,3.45,0.81,0.72,Silva-Aguirre et al. (2014)
8478994,0.81,0.019,0.011,0.772,0.003,0.006,2.486,0.022,0.025,4.57,0.003,0.002,5.35,0.91,1.01,Silva-Aguirre et al. (2014)
11295426,1.068,0.011,0.019,1.237,0.006,0.006,0.795,0.005,0.011,4.28,0.003,0.003,6.31,0.32,0.34,Silva-Aguirre et al. (2014)
8292840,1.148,0.051,0.049,1.345,0.015,0.018000000000000002,0.6659999999999999,0.01,0.01,4.24,0.008,0.008,3.85,0.81,0.75,Silva-Aguirre et al. (2014)
11807274,1.239,0.04,0.04,1.582,0.015,0.021,0.444,0.006999999999999999,0.006999999999999999,4.135,0.006999999999999999,0.009000000000000001,3.59,0.78,0.45,Silva-Aguirre et al. (2014)
10514430,1.0590000000000002,0.04,0.021,1.59,0.015,0.018000000000000002,0.374,0.004,0.004,4.061,0.004,0.004,7.84,0.4,0.91,Silva-Aguirre et al. (2014)
3425851,1.178,0.049,0.049,1.36,0.015,0.018000000000000002,0.662,0.009000000000000001,0.008,4.243,0.008,0.008,3.32,0.85,0.64,Silva-Aguirre et al. (2014)
7670943,1.239,0.04,0.051,1.4169999999999998,0.015,0.021,0.616,0.009000000000000001,0.01,4.228,0.008,0.008,2.78,0.62,0.51,Silva-Aguirre et al. (2014)
8077137,1.117,0.04,0.049,1.632,0.018000000000000002,0.009000000000000001,0.361,0.006,0.01,4.056,0.013,0.01,6.23,0.56,1.23,Silva-Aguirre et al. (2014)
10586004,1.178,0.021,0.03,1.653,0.009000000000000001,0.012,0.3670000000000001,0.004,0.005,4.0710000000000015,0.005,0.005,6.43,0.64,0.61,Silva-Aguirre et al. (2014)
11133306,1.0590000000000002,0.04,0.03,1.189,0.012,0.012,0.8909999999999999,0.008,0.009000000000000001,4.314,0.004,0.006999999999999999,5.14,0.86,0.88,Silva-Aguirre et al. (2014)
